concept,delta_e,method,title,Approach,type,Segment
apple,10.23156189,clipart-SAM,AC-SAM,AI,base,SAM
apple,21.5617676,photo-SAM,AP-SAM,AI,base,SAM
apple,8.747191479,query-SAM,Q-SAM,Query,base,SAM
apple,8.281566424,queryclipart-SAM,QC-SAM,Query,base,SAM
apple,10.23156189,clipart-bg_remove,AC-BG,AI,base,BG Remove
apple,21.601204,photo-bg_remove,AP-BG,AI,base,BG Remove
apple,34.26372247,query-bg_remove,Q-BG,Query,base,BG Remove
apple,8.586707965,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
banana,4.850963312,clipart-SAM,AC-SAM,AI,base,SAM
banana,11.71278575,photo-SAM,AP-SAM,AI,base,SAM
banana,4.850963312,query-SAM,Q-SAM,Query,base,SAM
banana,4.850963312,queryclipart-SAM,QC-SAM,Query,base,SAM
banana,5.107876316,clipart-bg_remove,AC-BG,AI,base,BG Remove
banana,10.3593879,photo-bg_remove,AP-BG,AI,base,BG Remove
banana,5.107876316,query-bg_remove,Q-BG,Query,base,BG Remove
banana,5.107876316,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
blueberry,2.308588884,clipart-SAM,AC-SAM,AI,base,SAM
blueberry,13.42166205,photo-SAM,AP-SAM,AI,base,SAM
blueberry,11.55609007,query-SAM,Q-SAM,Query,base,SAM
blueberry,24.42746268,queryclipart-SAM,QC-SAM,Query,base,SAM
blueberry,11.89374042,clipart-bg_remove,AC-BG,AI,base,BG Remove
blueberry,13.37867244,photo-bg_remove,AP-BG,AI,base,BG Remove
blueberry,11.10035698,query-bg_remove,Q-BG,Query,base,BG Remove
blueberry,24.67732034,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
carrot,3.866180382,clipart-SAM,AC-SAM,AI,base,SAM
carrot,2.679813631,photo-SAM,AP-SAM,AI,base,SAM
carrot,6.210773261,query-SAM,Q-SAM,Query,base,SAM
carrot,10.07282809,queryclipart-SAM,QC-SAM,Query,base,SAM
carrot,3.866180382,clipart-bg_remove,AC-BG,AI,base,BG Remove
carrot,2.984468676,photo-bg_remove,AP-BG,AI,base,BG Remove
carrot,2.563341368,query-bg_remove,Q-BG,Query,base,BG Remove
carrot,1.931897145,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
celery,9.520812642,clipart-SAM,AC-SAM,AI,base,SAM
celery,30.02376637,photo-SAM,AP-SAM,AI,base,SAM
celery,30.02376637,query-SAM,Q-SAM,Query,base,SAM
celery,6.912963813,queryclipart-SAM,QC-SAM,Query,base,SAM
celery,8.56233201,clipart-bg_remove,AC-BG,AI,base,BG Remove
celery,30.03997173,photo-bg_remove,AP-BG,AI,base,BG Remove
celery,31.01479962,query-bg_remove,Q-BG,Query,base,BG Remove
celery,8.779599531,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
cherry,10.15279863,clipart-SAM,AC-SAM,AI,base,SAM
cherry,9.409748365,photo-SAM,AP-SAM,AI,base,SAM
cherry,6.562279271,query-SAM,Q-SAM,Query,base,SAM
cherry,2.633979886,queryclipart-SAM,QC-SAM,Query,base,SAM
cherry,8.555921301,clipart-bg_remove,AC-BG,AI,base,BG Remove
cherry,15.97124713,photo-bg_remove,AP-BG,AI,base,BG Remove
cherry,15.58431556,query-bg_remove,Q-BG,Query,base,BG Remove
cherry,2.23435992,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
clear_sea,15.14023795,clipart-SAM,AC-SAM,AI,context,SAM
clear_sea,25.30181683,photo-SAM,AP-SAM,AI,context,SAM
clear_sea,19.1746129,query-SAM,Q-SAM,Query,context,SAM
clear_sea,28.42593387,queryclipart-SAM,QC-SAM,Query,context,SAM
clear_sea,50.88970711,clipart-bg_remove,AC-BG,AI,context,BG Remove
clear_sea,50.66712713,photo-bg_remove,AP-BG,AI,context,BG Remove
clear_sea,50.66712713,query-bg_remove,Q-BG,Query,context,BG Remove
clear_sea,50.88970711,queryclipart-bg_remove,QC-BG,Query,context,BG Remove
clear_sky,14.89641182,clipart-SAM,AC-SAM,AI,context,SAM
clear_sky,22.1541592,photo-SAM,AP-SAM,AI,context,SAM
clear_sky,41.73488782,query-SAM,Q-SAM,Query,context,SAM
clear_sky,9.886915883,queryclipart-SAM,QC-SAM,Query,context,SAM
clear_sky,69.8252818,clipart-bg_remove,AC-BG,AI,context,BG Remove
clear_sky,70.83764973,photo-bg_remove,AP-BG,AI,context,BG Remove
clear_sky,69.8252818,query-bg_remove,Q-BG,Query,context,BG Remove
clear_sky,14.45898947,queryclipart-bg_remove,QC-BG,Query,context,BG Remove
corn,20.94574302,clipart-SAM,AC-SAM,AI,base,SAM
corn,20.94574302,photo-SAM,AP-SAM,AI,base,SAM
corn,20.94574302,query-SAM,Q-SAM,Query,base,SAM
corn,15.92120763,queryclipart-SAM,QC-SAM,Query,base,SAM
corn,22.8969315,clipart-bg_remove,AC-BG,AI,base,BG Remove
corn,20.76593048,photo-bg_remove,AP-BG,AI,base,BG Remove
corn,15.80490577,query-bg_remove,Q-BG,Query,base,BG Remove
corn,10.69865729,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
crocodile,10.48937966,clipart-SAM,AC-SAM,AI,base,SAM
crocodile,24.55353065,photo-SAM,AP-SAM,AI,base,SAM
crocodile,23.98411878,query-SAM,Q-SAM,Query,base,SAM
crocodile,24.19069855,queryclipart-SAM,QC-SAM,Query,base,SAM
crocodile,22.45000264,clipart-bg_remove,AC-BG,AI,base,BG Remove
crocodile,23.92092413,photo-bg_remove,AP-BG,AI,base,BG Remove
crocodile,23.92092413,query-bg_remove,Q-BG,Query,base,BG Remove
crocodile,38.79649534,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
desert,8.699208773,clipart-SAM,AC-SAM,AI,environment,SAM
desert,13.83541299,photo-SAM,AP-SAM,AI,environment,SAM
desert,16.14639065,query-SAM,Q-SAM,Query,environment,SAM
desert,9.653713327,queryclipart-SAM,QC-SAM,Query,environment,SAM
desert,8.30395166,clipart-bg_remove,AC-BG,AI,environment,BG Remove
desert,62.34013064,photo-bg_remove,AP-BG,AI,environment,BG Remove
desert,62.65462784,query-bg_remove,Q-BG,Query,environment,BG Remove
desert,23.1808727,queryclipart-bg_remove,QC-BG,Query,environment,BG Remove
eggplant,13.92383144,clipart-SAM,AC-SAM,AI,base,SAM
eggplant,23.43199992,photo-SAM,AP-SAM,AI,base,SAM
eggplant,23.43199992,query-SAM,Q-SAM,Query,base,SAM
eggplant,13.15929669,queryclipart-SAM,QC-SAM,Query,base,SAM
eggplant,13.92383144,clipart-bg_remove,AC-BG,AI,base,BG Remove
eggplant,23.43199992,photo-bg_remove,AP-BG,AI,base,BG Remove
eggplant,26.57745066,query-bg_remove,Q-BG,Query,base,BG Remove
eggplant,9.871423757,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
elephant,11.70459252,clipart-SAM,AC-SAM,AI,base,SAM
elephant,16.09607581,photo-SAM,AP-SAM,AI,base,SAM
elephant,21.37296975,query-SAM,Q-SAM,Query,base,SAM
elephant,18.35825342,queryclipart-SAM,QC-SAM,Query,base,SAM
elephant,11.62990433,clipart-bg_remove,AC-BG,AI,base,BG Remove
elephant,21.46852293,photo-bg_remove,AP-BG,AI,base,BG Remove
elephant,25.30224449,query-bg_remove,Q-BG,Query,base,BG Remove
elephant,21.13790901,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
flamingo,16.71385879,clipart-SAM,AC-SAM,AI,base,SAM
flamingo,17.5262026,photo-SAM,AP-SAM,AI,base,SAM
flamingo,15.16878468,query-SAM,Q-SAM,Query,base,SAM
flamingo,10.11835124,queryclipart-SAM,QC-SAM,Query,base,SAM
flamingo,16.59813361,clipart-bg_remove,AC-BG,AI,base,BG Remove
flamingo,12.42323362,photo-bg_remove,AP-BG,AI,base,BG Remove
flamingo,15.16878468,query-bg_remove,Q-BG,Query,base,BG Remove
flamingo,9.869456282,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
forest,9.783005566,clipart-SAM,AC-SAM,AI,environment,SAM
forest,18.91755176,photo-SAM,AP-SAM,AI,environment,SAM
forest,18.91755176,query-SAM,Q-SAM,Query,environment,SAM
forest,34.07127547,queryclipart-SAM,QC-SAM,Query,environment,SAM
forest,43.03972123,clipart-bg_remove,AC-BG,AI,environment,BG Remove
forest,18.91755176,photo-bg_remove,AP-BG,AI,environment,BG Remove
forest,18.91755176,query-bg_remove,Q-BG,Query,environment,BG Remove
forest,18.91755176,queryclipart-bg_remove,QC-BG,Query,environment,BG Remove
fox,2.086460191,clipart-SAM,AC-SAM,AI,base,SAM
fox,16.62624063,photo-SAM,AP-SAM,AI,base,SAM
fox,18.72943217,query-SAM,Q-SAM,Query,base,SAM
fox,2.61220869,queryclipart-SAM,QC-SAM,Query,base,SAM
fox,2.086460191,clipart-bg_remove,AC-BG,AI,base,BG Remove
fox,49.50112252,photo-bg_remove,AP-BG,AI,base,BG Remove
fox,31.63620156,query-bg_remove,Q-BG,Query,base,BG Remove
fox,0.276563515,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
glacier,11.840633,clipart-SAM,AC-SAM,AI,environment,SAM
glacier,14.03023514,photo-SAM,AP-SAM,AI,environment,SAM
glacier,19.89700995,query-SAM,Q-SAM,Query,environment,SAM
glacier,0,queryclipart-SAM,QC-SAM,Query,environment,SAM
glacier,12.07344596,clipart-bg_remove,AC-BG,AI,environment,BG Remove
glacier,70.84644854,photo-bg_remove,AP-BG,AI,environment,BG Remove
glacier,70.84644854,query-bg_remove,Q-BG,Query,environment,BG Remove
glacier,1.011805651,queryclipart-bg_remove,QC-BG,Query,environment,BG Remove
grape,19.40628156,clipart-SAM,AC-SAM,AI,base,SAM
grape,26.93689772,photo-SAM,AP-SAM,AI,base,SAM
grape,82.46782647,query-SAM,Q-SAM,Query,base,SAM
grape,89.30471212,queryclipart-SAM,QC-SAM,Query,base,SAM
grape,19.26968708,clipart-bg_remove,AC-BG,AI,base,BG Remove
grape,11.77814911,photo-bg_remove,AP-BG,AI,base,BG Remove
grape,25.43019361,query-bg_remove,Q-BG,Query,base,BG Remove
grape,5.929846015,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
grassland,16.0012466,clipart-SAM,AC-SAM,AI,environment,SAM
grassland,16.96323305,photo-SAM,AP-SAM,AI,environment,SAM
grassland,29.31971318,query-SAM,Q-SAM,Query,environment,SAM
