Method,AI-photo,,,,,,,,
,,,,,,,,,
计数项:Value,,Value,,,,,,,
Metric,Group,1,2,3,4,5,6,7,总计
Preference,,20,57,107,263,289,221,123,1080
,basic terms,15,52,95,223,236,184,95,900
,context,5,5,12,40,53,37,28,180
Representative,,21,57,121,209,296,238,138,1080
,basic terms,17,54,104,182,246,197,100,900
,context,4,3,17,27,50,41,38,180
总计,,41,114,228,472,585,459,261,2160
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Method,Query,,,,,,,,
,,,,,,,,,
计数项:Value,,Value,,,,,,,
Metric,Group,1,2,3,4,5,6,7,总计
Preference,,25,61,112,298,323,189,72,1080
,basic terms,16,45,92,250,264,169,64,900
,context,9,16,20,48,59,20,8,180
Representative,,17,54,136,242,319,226,86,1080
,basic terms,11,49,108,209,257,196,70,900
,context,6,5,28,33,62,30,16,180
总计,,42,115,248,540,642,415,158,2160
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Method,AI-clipart,,,,,,,,
,,,,,,,,,
计数项:Value,,Value,,,,,,,
Metric,Group,1,2,3,4,5,6,7,总计
Preference,,24,60,128,261,297,173,137,1080
,basic terms,18,51,99,222,245,151,114,900
,context,6,9,29,39,52,22,23,180
Representative,,21,50,99,238,308,221,143,1080
,basic terms,17,43,80,199,254,189,118,900
,context,4,7,19,39,54,32,25,180
总计,,45,110,227,499,605,394,280,2160
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Method,Query-clipart,,,,,,,,
,,,,,,,,,
计数项:Value,,Value,,,,,,,
Metric,Group,1,2,3,4,5,6,7,总计
Preference,,18,67,128,253,295,187,132,1080
,basic terms,14,53,99,214,260,157,103,900
,context,4,14,29,39,35,30,29,180
Representative,,25,48,121,214,332,207,133,1080
,basic terms,20,43,97,183,282,172,103,900
,context,5,5,24,31,50,35,30,180
总计,,43,115,249,467,627,394,265,2160
