concept,style,color_0,count_0,color_1,count_1,color_2,count_2,color_3,count_3,color_4,count_4,color_dominant,method
celery,design,"[44, 69, 23]",5139,"[69, 164, 33]",6833,"[127, 166, 73]",7300,"[195, 226, 193]",1491,"[146, 247, 62]",735,"[112, 208, 48]",SAM
olive,design,"[18, 33, 16]",1377,"[66, 70, 37]",2716,"[95, 128, 20]",3005,"[154, 183, 101]",998,"[8, 247, 8]",1,"[56, 120, 55]",SAM
eggplant,design,"[72, 36, 84]",6772,"[82, 9, 145]",5943,"[107, 39, 184]",4175,"[44, 103, 43]",3687,"[84, 165, 34]",1367,"[119, 39, 103]",SAM
tangerine,design,"[115, 69, 22]",2458,"[71, 96, 53]",1652,"[248, 20, 7]",70,"[77, 148, 35]",2898,"[247, 238, 50]",139,"[247, 141, 14]",SAM
fox,design,"[89, 47, 23]",1774,"[8, 7, 247]",3,"[178, 90, 41]",1542,"[158, 157, 156]",736,"[240, 210, 175]",849,"[243, 115, 35]",SAM
blueberry,design,"[29, 23, 72]",3374,"[27, 24, 118]",334,"[8, 7, 247]",3,"[90, 78, 145]",1773,"[186, 186, 190]",294,"[48, 46, 91]",SAM
apple,design,"[62, 7, 213]",265,"[154, 29, 26]",7710,"[49, 93, 28]",1537,"[136, 62, 63]",2931,"[53, 185, 33]",1442,"[192, 58, 40]",SAM
grape,design,"[86, 8, 38]",2638,"[104, 39, 108]",2741,"[35, 91, 37]",165,"[170, 112, 185]",581,"[54, 172, 36]",41,"[71, 41, 122]",SAM
banana,design,"[70, 62, 18]",4486,"[149, 132, 39]",7203,"[214, 163, 46]",5658,"[196, 195, 188]",484,"[234, 231, 27]",7266,"[229, 215, 56]",SAM
corn,design,"[76, 78, 33]",5665,"[115, 172, 64]",5796,"[219, 193, 46]",5934,"[210, 201, 119]",11854,"[115, 237, 68]",4532,"[239, 240, 48]",SAM
carrot,design,"[148, 76, 43]",1980,"[248, 8, 8]",81,"[73, 140, 62]",3037,"[137, 190, 64]",3391,"[108, 237, 100]",1673,"[231, 120, 45]",SAM
